weight vector:
0.4,-0.3,-0.7,0.9,-1.0,7.0
parameter value:,0.03
no. f separating features:,6
row no.,inner product,misclassified status,b
0,[[12.7]],1,[[-6 -5 -6 -4 -6  1]]
1,[[14.6]],1,[[-5 -4 -7 -5 -8  1]]
2,[[8.]],1,[[-6 -6 -4 -8 -6  1]]
3,[[6.8]],1,[[-5 -5 -5 -8 -4  1]]
4,[[9.]],1,[[-7 -8 -4 -6 -5  1]]
5,[[11.6]],1,[[-7 -4 -8 -6 -6  1]]
6,[[9.6]],1,[[-7 -7 -8 -7 -4  1]]
7,[[13.7]],1,[[-7 -5 -8 -4 -6  1]]
8,[[13.8]],1,[[-4 -8 -8 -4 -4  1]]
9,[[12.2]],1,[[-8 -7 -4 -5 -8  1]]
10,[[12.1]],1,[[-7 -6 -5 -6 -8  1]]
11,[[12.9]],1,[[-6 -7 -8 -6 -6  1]]
12,[[10.1]],1,[[-6 -4 -5 -8 -8  1]]
13,[[11.9]],1,[[-5 -6 -5 -6 -7  1]]
14,[[9.5]],1,[[-5 -7 -8 -8 -4  1]]
15,[[14.8]],1,[[-5 -5 -7 -4 -7  1]]
16,[[11.2]],1,[[-7 -6 -5 -7 -8  1]]
17,[[9.]],1,[[-6 -7 -5 -8 -6  1]]
18,[[11.4]],1,[[-7 -6 -4 -6 -8  1]]
19,[[9.8]],1,[[-6 -7 -5 -6 -5  1]]
20,[[12.6]],1,[[-7 -7 -8 -7 -7  1]]
21,[[11.6]],1,[[-7 -4 -4 -4 -7  1]]
22,[[13.6]],1,[[-8 -5 -7 -4 -7  1]]
23,[[8.7]],1,[[-4 -7 -5 -7 -4  1]]
24,[[13.8]],1,[[-6 -4 -8 -4 -6  1]]
25,[[12.1]],1,[[-4 -6 -5 -4 -5  1]]
26,[[11.]],1,[[-8 -5 -7 -8 -8  1]]
27,[[13.8]],1,[[-8 -6 -8 -6 -8  1]]
28,[[16.5]],1,[[-5 -5 -8 -4 -8  1]]
29,[[8.]],1,[[-8 -6 -8 -8 -4  1]]
30,[[9.9]],1,[[-7 -6 -5 -4 -4  1]]
31,[[11.]],1,[[-5 -4 -6 -6 -6  1]]
