,TN,FP,FN,TP,accuracy,precision,recall,f1_score
Fold:,0,,,,,,,
SVM:,0,41,0,249,0.85862069,0.85862069,1,0.92393321
Linear Kernel:,0,41,0,249,0.85862069,0.85862069,1,0.92393321
Polynomial Kernel:,1,40,0,249,0.862068966,0.861591696,1,0.925650558
Gaussian Kernel:,33,8,0,249,0.972413793,0.968871595,1,0.984189723
Fold:,1,,,,,,,
SVM:,1,49,0,240,0.831034483,0.830449827,1,0.907372401
Linear Kernel:,0,50,0,240,0.827586207,0.827586207,1,0.905660377
Polynomial Kernel:,2,48,0,240,0.834482759,0.833333333,1,0.909090909
Gaussian Kernel:,40,10,0,240,0.965517241,0.96,1,0.979591837
Fold:,2,,,,,,,
SVM:,0,57,0,233,0.803448276,0.803448276,1,0.891013384
Linear Kernel:,0,57,0,233,0.803448276,0.803448276,1,0.891013384
Polynomial Kernel:,1,56,0,233,0.806896552,0.806228374,1,0.892720307
Gaussian Kernel:,46,11,0,233,0.962068966,0.954918033,1,0.976939203
Fold:,3,,,,,,,
SVM:,0,42,0,248,0.855172414,0.855172414,1,0.921933086
Linear Kernel:,0,42,0,248,0.855172414,0.855172414,1,0.921933086
Polynomial Kernel:,3,39,0,248,0.865517241,0.864111498,1,0.927102804
Gaussian Kernel:,34,8,0,248,0.972413793,0.96875,1,0.984126984
Fold:,4,,,,,,,
SVM:,1,48,0,241,0.834482759,0.833910035,1,0.909433962
Linear Kernel:,0,49,0,241,0.831034483,0.831034483,1,0.907721281
Polynomial Kernel:,2,47,0,241,0.837931034,0.836805556,1,0.911153119
Gaussian Kernel:,39,10,0,241,0.965517241,0.960159363,1,0.979674797
Fold:,5,,,,,,,
SVM:,2,48,0,240,0.834482759,0.833333333,1,0.909090909
Linear Kernel:,0,50,0,240,0.827586207,0.827586207,1,0.905660377
Polynomial Kernel:,5,45,0,240,0.844827586,0.842105263,1,0.914285714
Gaussian Kernel:,38,12,0,240,0.95862069,0.952380952,1,0.975609756
Fold:,6,,,,,,,
SVM:,2,40,0,248,0.862068966,0.861111111,1,0.925373134
Linear Kernel:,0,42,0,248,0.855172414,0.855172414,1,0.921933086
Polynomial Kernel:,3,39,0,248,0.865517241,0.864111498,1,0.927102804
Gaussian Kernel:,31,11,0,248,0.962068966,0.957528958,1,0.978303748
Fold:,7,,,,,,,
SVM:,2,35,0,253,0.879310345,0.878472222,1,0.935304991
Linear Kernel:,0,37,0,253,0.872413793,0.872413793,1,0.931860037
Polynomial Kernel:,3,34,0,253,0.882758621,0.881533101,1,0.937037037
Gaussian Kernel:,28,9,0,253,0.968965517,0.965648855,1,0.982524272
Fold:,8,,,,,,,
SVM:,0,58,0,232,0.8,0.8,1,0.888888889
Linear Kernel:,0,58,0,232,0.8,0.8,1,0.888888889
Polynomial Kernel:,2,56,0,232,0.806896552,0.805555556,1,0.892307692
Gaussian Kernel:,49,9,0,232,0.968965517,0.962655602,1,0.980972516
Fold:,9,,,,,,,
SVM:,1,45,0,244,0.844827586,0.844290657,1,0.915572233
Linear Kernel:,0,46,0,244,0.84137931,0.84137931,1,0.913857678
Polynomial Kernel:,2,44,0,244,0.848275862,0.847222222,1,0.917293233
Gaussian Kernel:,39,7,0,244,0.975862069,0.972111554,1,0.985858586
Separator,Average Accuracy,Average Precision,Average Recall,Average f1_score,,,,
SVM,0.84169279,0.841179567,1,0.913569501,,,,
Linear Kernel,0.838244514,0.838244514,1,0.911851987,,,,
Polynomial Kernel,0.847021944,0.845703451,1,0.916232382,,,,
Gaussian Kerenl,0.968025078,0.963214266,1,0.981251215,,,,
