Vocabulary,TN,FP,FN,TP,accuracy,precision,recall,f1_score
1th fold of Validation Process:
Unfiltered Vocabulary:,48,0,3,239,0.9896551724137931,1.0,0.987603305785124,0.9937629937629938
Stop-words removed vocabulary:,47,1,3,239,0.9862068965517241,0.9958333333333333,0.987603305785124,0.991701244813278
Lemmatized Vocabulary:,47,1,4,238,0.9827586206896551,0.99581589958159,0.9834710743801653,0.9896049896049897
Pruned Vocabulary:,47,1,4,238,0.9827586206896551,0.99581589958159,0.9834710743801653,0.9896049896049897
2th fold of Validation Process:
Unfiltered Vocabulary:,47,2,0,242,0.993127147766323,0.9918032786885246,1.0,0.9958847736625513
Stop-words removed vocabulary:,47,2,0,242,0.993127147766323,0.9918032786885246,1.0,0.9958847736625513
Lemmatized Vocabulary:,47,2,0,242,0.993127147766323,0.9918032786885246,1.0,0.9958847736625513
Pruned Vocabulary:,47,2,0,242,0.993127147766323,0.9918032786885246,1.0,0.9958847736625513
3th fold of Validation Process:
Unfiltered Vocabulary:,48,0,5,236,0.9826989619377162,1.0,0.979253112033195,0.9895178197064989
Stop-words removed vocabulary:,48,0,4,237,0.986159169550173,1.0,0.983402489626556,0.9916317991631798
Lemmatized Vocabulary:,48,0,5,236,0.9826989619377162,1.0,0.979253112033195,0.9895178197064989
Pruned Vocabulary:,47,1,7,234,0.972318339100346,0.9957446808510638,0.970954356846473,0.9831932773109243
4th fold of Validation Process:
Unfiltered Vocabulary:,48,0,3,238,0.9896193771626297,1.0,0.9875518672199171,0.9937369519832986
Stop-words removed vocabulary:,48,0,5,236,0.9826989619377162,1.0,0.979253112033195,0.9895178197064989
Lemmatized Vocabulary:,48,0,7,234,0.9757785467128027,1.0,0.970954356846473,0.9852631578947367
Pruned Vocabulary:,48,0,8,233,0.972318339100346,1.0,0.966804979253112,0.9831223628691983
5th fold of Validation Process:
Unfiltered Vocabulary:,48,0,3,238,0.9896193771626297,1.0,0.9875518672199171,0.9937369519832986
Stop-words removed vocabulary:,48,0,1,240,0.9965397923875432,1.0,0.995850622406639,0.997920997920998
Lemmatized Vocabulary:,48,0,4,237,0.986159169550173,1.0,0.983402489626556,0.9916317991631798
Pruned Vocabulary:,47,1,4,237,0.9826989619377162,0.9957983193277311,0.983402489626556,0.9895615866388309
6th fold of Validation Process:
Unfiltered Vocabulary:,48,0,0,242,1.0,1.0,1.0,1.0
Stop-words removed vocabulary:,48,0,0,242,1.0,1.0,1.0,1.0
Lemmatized Vocabulary:,47,1,0,242,0.996551724137931,0.9958847736625515,1.0,0.9979381443298969
Pruned Vocabulary:,48,0,0,242,1.0,1.0,1.0,1.0
7th fold of Validation Process:
Unfiltered Vocabulary:,48,0,0,241,1.0,1.0,1.0,1.0
Stop-words removed vocabulary:,48,0,0,241,1.0,1.0,1.0,1.0
Lemmatized Vocabulary:,48,0,0,241,1.0,1.0,1.0,1.0
Pruned Vocabulary:,48,0,0,241,1.0,1.0,1.0,1.0
8th fold of Validation Process:
Unfiltered Vocabulary:,47,1,1,240,0.9930795847750865,0.995850622406639,0.995850622406639,0.995850622406639
Stop-words removed vocabulary:,47,1,2,239,0.9896193771626297,0.9958333333333333,0.991701244813278,0.9937629937629938
Lemmatized Vocabulary:,47,1,5,236,0.9792387543252595,0.9957805907172996,0.979253112033195,0.9874476987447699
Pruned Vocabulary:,47,1,5,236,0.9792387543252595,0.9957805907172996,0.979253112033195,0.9874476987447699
9th fold of Validation Process:
Unfiltered Vocabulary:,48,0,8,233,0.972318339100346,1.0,0.966804979253112,0.9831223628691983
Stop-words removed vocabulary:,48,0,8,233,0.972318339100346,1.0,0.966804979253112,0.9831223628691983
Lemmatized Vocabulary:,48,0,9,232,0.9688581314878892,1.0,0.9626556016597511,0.9809725158562368
Pruned Vocabulary:,48,0,7,234,0.9757785467128027,1.0,0.970954356846473,0.9852631578947367
10th fold of Validation Process:
Unfiltered Vocabulary:,47,1,1,240,0.9930795847750865,0.995850622406639,0.995850622406639,0.995850622406639
Stop-words removed vocabulary:,42,6,1,240,0.9757785467128027,0.975609756097561,0.995850622406639,0.9856262833675564
Lemmatized Vocabulary:,42,6,1,240,0.9757785467128027,0.975609756097561,0.995850622406639,0.9856262833675564
Pruned Vocabulary:,47,1,1,240,0.9930795847750865,0.995850622406639,0.995850622406639,0.995850622406639
Vocabulary,Average Accuracy,Average Precision,Average Recall,Average f1_score
Vocabulary 1,0.9903197545093612,0.9983504523501804,0.9900466376324543,0.9941463098781117
Vocabulary 2,0.9882448231169259,0.9959079701452751,0.9900466376324543,0.9929168275266255
Vocabulary 3,0.9840949603320552,0.9954894298747525,0.9854840368985973,0.9903887182330416
Vocabulary 4,0.9851318294407536,0.9970793391572847,0.9850690991392612,0.9909928469132641
